id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
0,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
1,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
2,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
3,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
4,16 Cygni B b,69,1.78 Jupiters,6.215,1996
5,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
6,18 Delphini b,249,10.3 Jupiters,5.51048,2008
7,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
8,24 Bootis b,313,0.91 Jupiters,5.59,2018
9,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
10,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
11,2M0437 b,419,4 Jupiters,16.186,2021
12,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
13,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
14,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
15,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
16,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
17,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
18,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
19,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
20,42 Draconis b,296,3.88 Jupiters,4.8262,2008
21,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
22,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
23,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
24,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
25,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
26,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
27,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
28,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
29,16 Cygni B b,69,1.78 Jupiters,6.215,1996
30,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
31,18 Delphini b,249,10.3 Jupiters,5.51048,2008
32,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
33,24 Bootis b,313,0.91 Jupiters,5.59,2018
34,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
35,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
36,2M0437 b,419,4 Jupiters,16.186,2021
37,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
38,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
39,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
40,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
41,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
42,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
43,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
44,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
45,42 Draconis b,296,3.88 Jupiters,4.8262,2008
46,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
47,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
48,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
49,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
50,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
51,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
52,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
53,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
54,16 Cygni B b,69,1.78 Jupiters,6.215,1996
55,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
56,18 Delphini b,249,10.3 Jupiters,5.51048,2008
57,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
58,24 Bootis b,313,0.91 Jupiters,5.59,2018
59,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
60,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
61,2M0437 b,419,4 Jupiters,16.186,2021
62,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
63,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
64,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
65,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
66,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
67,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
68,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
69,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
70,42 Draconis b,296,3.88 Jupiters,4.8262,2008
71,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
72,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
73,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
74,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
75,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
76,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
77,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
78,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
79,16 Cygni B b,69,1.78 Jupiters,6.215,1996
80,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
81,18 Delphini b,249,10.3 Jupiters,5.51048,2008
82,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
83,24 Bootis b,313,0.91 Jupiters,5.59,2018
84,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
85,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
86,2M0437 b,419,4 Jupiters,16.186,2021
87,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
88,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
89,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
90,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
91,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
92,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
93,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
94,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
95,42 Draconis b,296,3.88 Jupiters,4.8262,2008
96,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
97,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
98,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
99,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
100,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
101,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
102,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
103,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
104,16 Cygni B b,69,1.78 Jupiters,6.215,1996
105,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
106,18 Delphini b,249,10.3 Jupiters,5.51048,2008
107,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
108,24 Bootis b,313,0.91 Jupiters,5.59,2018
109,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
110,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
111,2M0437 b,419,4 Jupiters,16.186,2021
112,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
113,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
114,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
115,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
116,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
117,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
118,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
119,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
120,42 Draconis b,296,3.88 Jupiters,4.8262,2008
121,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
122,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
123,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
124,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
125,51 Eridani b,97,2 Jupiters,5.21149,2015
126,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
127,55 Cancri b,41,0.8306 Jupiters,5.95084,1996
128,55 Cancri c,41,0.1714 Jupiters,5.95084,2004
129,55 Cancri d,41,3.878 Jupiters,5.95084,2002
130,55 Cancri e,41,7.99 Earths,5.95084,2004
131,55 Cancri f,41,0.141 Jupiters,5.95084,2007
132,61 Virginis b,28,5.1 Earths,4.6955,2009
133,61 Virginis c,28,18.2 Earths,4.6955,2009
134,61 Virginis d,28,22.9 Earths,4.6955,2009
135,6 Lyncis b,178,2.01 Jupiters,5.87307,2008
136,70 Virginis b,58,7.49 Jupiters,4.96808,1996
137,75 Ceti b,271,3 Jupiters,5.3532,2012
138,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
139,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
140,81 Ceti b,330,5.3 Jupiters,5.64307,2008
141,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
142,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
143,AB Aurigae b,529,9 Jupiters,7.076,2022
144,AB Pictoris b,163,13.5 Jupiters,9.13,2005
145,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
146,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
147,AU Microscopii b,32,20.12 Earths,8.81,2020
148,AU Microscopii c,32,9.6 Earths,8.81,2021
149,b Centauri AB b,320,10.9 Jupiters,4.01,2021
150,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
151,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
152,BD-06 1339 b,66,8.5 Earths,9.7,2013
153,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
154,BD-08 2823 b,135,12.7132 Earths,9.86,2009
155,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
156,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
157,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
158,BD-11 4672 c,89,15.37 Earths,10.03,2020
159,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
160,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
161,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
162,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
163,BD-17 63 b,112,5.1 Jupiters,9.62,2008
164,BD+20 2457 b,5023,55.59 Jupiters,9.743,2009
165,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
166,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
167,BD+20 594 b,585,22.2481 Earths,10.849,2016
168,BD+45 564 b,175,1.36 Jupiters,9.67,2021
169,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
170,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
171,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
172,BD+55 362 b,171,0.72 Jupiters,9.38,2021
173,BD+60 1417 b,147,15 Jupiters,9.374,2021
174,BD+63 1405 b,124,3.96 Jupiters,8.96,2021
175,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
176,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
177,BD-06 1339 b,66,8.5 Earths,9.7,2013
178,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
179,BD-08 2823 b,135,12.7132 Earths,9.86,2009
180,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
181,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
182,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
183,BD-11 4672 c,89,15.37 Earths,10.03,2020
184,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
185,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
186,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
187,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
188,BD-17 63 b,112,5.1 Jupiters,9.62,2008
189,BD+20 2457 b,5023,55.59 Jupiters,9.743,2009
190,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
191,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
192,BD+20 594 b,585,22.2481 Earths,10.849,2016
193,BD+45 564 b,175,1.36 Jupiters,9.67,2021
194,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
195,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
196,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
197,BD+55 362 b,171,0.72 Jupiters,9.38,2021
198,BD+60 1417 b,147,15 Jupiters,9.374,2021
199,BD+63 1405 b,124,3.96 Jupiters,8.96,2021
200,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
201,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
202,BD-06 1339 b,66,8.5 Earths,9.7,2013
203,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
204,BD-08 2823 b,135,12.7132 Earths,9.86,2009
205,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
206,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
207,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
208,BD-11 4672 c,89,15.37 Earths,10.03,2020
209,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
210,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
211,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
212,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
213,BD-17 63 b,112,5.1 Jupiters,9.62,2008
214,BD+20 2457 b,5023,55.59 Jupiters,9.743,2009
215,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
216,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
217,BD+20 594 b,585,22.2481 Earths,10.849,2016
218,BD+45 564 b,175,1.36 Jupiters,9.67,2021
219,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
220,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
221,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
222,BD+55 362 b,171,0.72 Jupiters,9.38,2021
223,BD+60 1417 b,147,15 Jupiters,9.374,2021
224,BD+63 1405 b,124,3.96 Jupiters,8.96,2021
225,CoRoT-24 b,1930,5.7 Earths,15.383,2014
226,CoRoT-24 c,1930,28 Earths,15.383,2014
227,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
228,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
229,CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
230,CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
231,CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
232,CoRoT-2 b,696,3.47 Jupiters,12.516,2008
233,CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
234,CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
235,CoRoT-35 b,3664,1.1 Jupiters,15.635,2022
236,CoRoT-36 b,3020,0.68 Jupiters,13.126,2022
237,CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
238,CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
239,CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
240,CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
241,CoRoT-7 b,522,4.07661 Earths,11.728,2009
242,CoRoT-7 c,522,8.4 Earths,11.728,2009
243,CoRoT-7 d,522,17.142 Earths,11.728,2022
244,CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
245,CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
246,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
247,CT Chamaleontis b,622,17 Jupiters,12.335,2007
248,DE Canum Venaticorum b,100,12.0293 Jupiters,12.956,2018
249,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.5577,2013
250,CoRoT-24 b,1930,5.7 Earths,15.383,2014
251,CoRoT-24 c,1930,28 Earths,15.383,2014
252,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
253,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
254,CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
255,CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
256,CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
257,CoRoT-2 b,696,3.47 Jupiters,12.516,2008
258,CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
259,CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
260,CoRoT-35 b,3664,1.1 Jupiters,15.635,2022
261,CoRoT-36 b,3020,0.68 Jupiters,13.126,2022
262,CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
263,CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
264,CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
265,CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
266,CoRoT-7 b,522,4.07661 Earths,11.728,2009
267,CoRoT-7 c,522,8.4 Earths,11.728,2009
268,CoRoT-7 d,522,17.142 Earths,11.728,2022
269,CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
270,CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
271,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
272,CT Chamaleontis b,622,17 Jupiters,12.335,2007
273,DE Canum Venaticorum b,100,12.0293 Jupiters,12.956,2018
274,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.5577,2013
275,DH Tauri b,440,11 Jupiters,13.98,2004
276,DMPP-1 b,204,24.27 Earths,7.98,2019
277,DMPP-1 c,204,9.6 Earths,7.98,2019
278,DMPP-1 d,204,3.35 Earths,7.98,2019
279,DMPP-1 e,204,4.13 Earths,7.98,2019
280,DMPP-2 b,450,0.437 Jupiters,8.57,2019
281,DMPP-3 A b,148,2.58 Earths,9.066,2019
282,DP Leonis b,997,6.28 Jupiters,18.6837,2009
283,DS Tucanae A b,144,1.3 Jupiters,8.17,2019
284,EPIC 201170410.02,437,1.15 Earths,17.6984,2020
285,EPIC 201238110 b,520,4.16 Earths,16.014,2019
286,EPIC 201427007 b,2304,2.86 Earths,14.321,2021
287,EPIC 201497682 b,825,0.26 Earths,13.948,2019
288,EPIC 201595106 b,757,2.24 Earths,11.746,2021
289,EPIC 201615463 c,1556,1.98 Earths,12.081,2019
290,EPIC 201754305 d,1093,1.08 Earths,14.668,2019
291,EPIC 201757695.02,1884,0.688 Earths,14.974,2020
292,EPIC 201833600 c,840,0.972 Earths,14.705,2019
293,EPIC 201841433 b,1424,1.12 Earths,14.983,2019
294,EPIC 205950854 c,796,2.27 Earths,12.365,2019
295,EPIC 206024342 b,1207,3.53 Earths,13.096,2019
296,EPIC 206024342 c,1207,2.54 Earths,13.096,2021
297,EPIC 206024342 d,1207,7.27 Earths,13.096,2021
298,EPIC 206032309 b,526,1.01 Earths,17.89,2019
299,EPIC 206042996 b,1474,3.53 Earths,16.59,2019
300,DH Tauri b,440,11 Jupiters,13.98,2004
301,DMPP-1 b,204,24.27 Earths,7.98,2019
302,DMPP-1 c,204,9.6 Earths,7.98,2019
303,DMPP-1 d,204,3.35 Earths,7.98,2019
304,DMPP-1 e,204,4.13 Earths,7.98,2019
305,DMPP-2 b,450,0.437 Jupiters,8.57,2019
306,DMPP-3 A b,148,2.58 Earths,9.066,2019
307,DP Leonis b,997,6.28 Jupiters,18.6837,2009
308,DS Tucanae A b,144,1.3 Jupiters,8.17,2019
309,EPIC 201170410.02,437,1.15 Earths,17.6984,2020
310,EPIC 201238110 b,520,4.16 Earths,16.014,2019
311,EPIC 201427007 b,2304,2.86 Earths,14.321,2021
312,EPIC 201497682 b,825,0.26 Earths,13.948,2019
313,EPIC 201595106 b,757,2.24 Earths,11.746,2021
314,EPIC 201615463 c,1556,1.98 Earths,12.081,2019
315,EPIC 201754305 d,1093,1.08 Earths,14.668,2019
316,EPIC 201757695.02,1884,0.688 Earths,14.974,2020
317,EPIC 201833600 c,840,0.972 Earths,14.705,2019
318,EPIC 201841433 b,1424,1.12 Earths,14.983,2019
319,EPIC 205950854 c,796,2.27 Earths,12.365,2019
320,EPIC 206024342 b,1207,3.53 Earths,13.096,2019
321,EPIC 206024342 c,1207,2.54 Earths,13.096,2021
322,EPIC 206024342 d,1207,7.27 Earths,13.096,2021
323,EPIC 206032309 b,526,1.01 Earths,17.89,2019
324,EPIC 206042996 b,1474,3.53 Earths,16.59,2019
325,DH Tauri b,440,11 Jupiters,13.98,2004
326,DMPP-1 b,204,24.27 Earths,7.98,2019
327,DMPP-1 c,204,9.6 Earths,7.98,2019
328,DMPP-1 d,204,3.35 Earths,7.98,2019
329,DMPP-1 e,204,4.13 Earths,7.98,2019
330,DMPP-2 b,450,0.437 Jupiters,8.57,2019
331,DMPP-3 A b,148,2.58 Earths,9.066,2019
332,DP Leonis b,997,6.28 Jupiters,18.6837,2009
333,DS Tucanae A b,144,1.3 Jupiters,8.17,2019
334,EPIC 201170410.02,437,1.15 Earths,17.6984,2020
335,EPIC 201238110 b,520,4.16 Earths,16.014,2019
336,EPIC 201427007 b,2304,2.86 Earths,14.321,2021
337,EPIC 201497682 b,825,0.26 Earths,13.948,2019
338,EPIC 201595106 b,757,2.24 Earths,11.746,2021
339,EPIC 201615463 c,1556,1.98 Earths,12.081,2019
340,EPIC 201754305 d,1093,1.08 Earths,14.668,2019
341,EPIC 201757695.02,1884,0.688 Earths,14.974,2020
342,EPIC 201833600 c,840,0.972 Earths,14.705,2019
343,EPIC 201841433 b,1424,1.12 Earths,14.983,2019
344,EPIC 205950854 c,796,2.27 Earths,12.365,2019
345,EPIC 206024342 b,1207,3.53 Earths,13.096,2019
346,EPIC 206024342 c,1207,2.54 Earths,13.096,2021
347,EPIC 206024342 d,1207,7.27 Earths,13.096,2021
348,EPIC 206032309 b,526,1.01 Earths,17.89,2019
349,EPIC 206042996 b,1474,3.53 Earths,16.59,2019
350,DH Tauri b,440,11 Jupiters,13.98,2004
351,DMPP-1 b,204,24.27 Earths,7.98,2019
352,DMPP-1 c,204,9.6 Earths,7.98,2019
353,DMPP-1 d,204,3.35 Earths,7.98,2019
354,DMPP-1 e,204,4.13 Earths,7.98,2019
355,DMPP-2 b,450,0.437 Jupiters,8.57,2019
356,DMPP-3 A b,148,2.58 Earths,9.066,2019
357,DP Leonis b,997,6.28 Jupiters,18.6837,2009
358,DS Tucanae A b,144,1.3 Jupiters,8.17,2019
359,EPIC 201170410.02,437,1.15 Earths,17.6984,2020
360,EPIC 201238110 b,520,4.16 Earths,16.014,2019
361,EPIC 201427007 b,2304,2.86 Earths,14.321,2021
362,EPIC 201497682 b,825,0.26 Earths,13.948,2019
363,EPIC 201595106 b,757,2.24 Earths,11.746,2021
364,EPIC 201615463 c,1556,1.98 Earths,12.081,2019
365,EPIC 201754305 d,1093,1.08 Earths,14.668,2019
366,EPIC 201757695.02,1884,0.688 Earths,14.974,2020
367,EPIC 201833600 c,840,0.972 Earths,14.705,2019
368,EPIC 201841433 b,1424,1.12 Earths,14.983,2019
369,EPIC 205950854 c,796,2.27 Earths,12.365,2019
370,EPIC 206024342 b,1207,3.53 Earths,13.096,2019
371,EPIC 206024342 c,1207,2.54 Earths,13.096,2021
372,EPIC 206024342 d,1207,7.27 Earths,13.096,2021
373,EPIC 206032309 b,526,1.01 Earths,17.89,2019
374,EPIC 206042996 b,1474,3.53 Earths,16.59,2019
375,DH Tauri b,440,11 Jupiters,13.98,2004
376,DMPP-1 b,204,24.27 Earths,7.98,2019
377,DMPP-1 c,204,9.6 Earths,7.98,2019
378,DMPP-1 d,204,3.35 Earths,7.98,2019
379,DMPP-1 e,204,4.13 Earths,7.98,2019
380,DMPP-2 b,450,0.437 Jupiters,8.57,2019
381,DMPP-3 A b,148,2.58 Earths,9.066,2019
382,DP Leonis b,997,6.28 Jupiters,18.6837,2009
383,DS Tucanae A b,144,1.3 Jupiters,8.17,2019
384,EPIC 201170410.02,437,1.15 Earths,17.6984,2020
385,EPIC 201238110 b,520,4.16 Earths,16.014,2019
386,EPIC 201427007 b,2304,2.86 Earths,14.321,2021
387,EPIC 201497682 b,825,0.26 Earths,13.948,2019
388,EPIC 201595106 b,757,2.24 Earths,11.746,2021
389,EPIC 201615463 c,1556,1.98 Earths,12.081,2019
390,EPIC 201754305 d,1093,1.08 Earths,14.668,2019
391,EPIC 201757695.02,1884,0.688 Earths,14.974,2020
392,EPIC 201833600 c,840,0.972 Earths,14.705,2019
393,EPIC 201841433 b,1424,1.12 Earths,14.983,2019
394,EPIC 205950854 c,796,2.27 Earths,12.365,2019
395,EPIC 206024342 b,1207,3.53 Earths,13.096,2019
396,EPIC 206024342 c,1207,2.54 Earths,13.096,2021
397,EPIC 206024342 d,1207,7.27 Earths,13.096,2021
398,EPIC 206032309 b,526,1.01 Earths,17.89,2019
399,EPIC 206042996 b,1474,3.53 Earths,16.59,2019
400,DH Tauri b,440,11 Jupiters,13.98,2004
401,DMPP-1 b,204,24.27 Earths,7.98,2019
402,DMPP-1 c,204,9.6 Earths,7.98,2019
403,DMPP-1 d,204,3.35 Earths,7.98,2019
404,DMPP-1 e,204,4.13 Earths,7.98,2019
405,DMPP-2 b,450,0.437 Jupiters,8.57,2019
406,DMPP-3 A b,148,2.58 Earths,9.066,2019
407,DP Leonis b,997,6.28 Jupiters,18.6837,2009
408,DS Tucanae A b,144,1.3 Jupiters,8.17,2019
409,EPIC 201170410.02,437,1.15 Earths,17.6984,2020
410,EPIC 201238110 b,520,4.16 Earths,16.014,2019
411,EPIC 201427007 b,2304,2.86 Earths,14.321,2021
412,EPIC 201497682 b,825,0.26 Earths,13.948,2019
413,EPIC 201595106 b,757,2.24 Earths,11.746,2021
414,EPIC 201615463 c,1556,1.98 Earths,12.081,2019
415,EPIC 201754305 d,1093,1.08 Earths,14.668,2019
416,EPIC 201757695.02,1884,0.688 Earths,14.974,2020
417,EPIC 201833600 c,840,0.972 Earths,14.705,2019
418,EPIC 201841433 b,1424,1.12 Earths,14.983,2019
419,EPIC 205950854 c,796,2.27 Earths,12.365,2019
420,EPIC 206024342 b,1207,3.53 Earths,13.096,2019
421,EPIC 206024342 c,1207,2.54 Earths,13.096,2021
422,EPIC 206024342 d,1207,7.27 Earths,13.096,2021
423,EPIC 206032309 b,526,1.01 Earths,17.89,2019
424,EPIC 206042996 b,1474,3.53 Earths,16.59,2019
425,DH Tauri b,440,11 Jupiters,13.98,2004
426,DMPP-1 b,204,24.27 Earths,7.98,2019
427,DMPP-1 c,204,9.6 Earths,7.98,2019
428,DMPP-1 d,204,3.35 Earths,7.98,2019
429,DMPP-1 e,204,4.13 Earths,7.98,2019
430,DMPP-2 b,450,0.437 Jupiters,8.57,2019
431,DMPP-3 A b,148,2.58 Earths,9.066,2019
432,DP Leonis b,997,6.28 Jupiters,18.6837,2009
433,DS Tucanae A b,144,1.3 Jupiters,8.17,2019
434,EPIC 201170410.02,437,1.15 Earths,17.6984,2020
435,EPIC 201238110 b,520,4.16 Earths,16.014,2019
436,EPIC 201427007 b,2304,2.86 Earths,14.321,2021
437,EPIC 201497682 b,825,0.26 Earths,13.948,2019
438,EPIC 201595106 b,757,2.24 Earths,11.746,2021
439,EPIC 201615463 c,1556,1.98 Earths,12.081,2019
440,EPIC 201754305 d,1093,1.08 Earths,14.668,2019
441,EPIC 201757695.02,1884,0.688 Earths,14.974,2020
442,EPIC 201833600 c,840,0.972 Earths,14.705,2019
443,EPIC 201841433 b,1424,1.12 Earths,14.983,2019
444,EPIC 205950854 c,796,2.27 Earths,12.365,2019
445,EPIC 206024342 b,1207,3.53 Earths,13.096,2019
446,EPIC 206024342 c,1207,2.54 Earths,13.096,2021
447,EPIC 206024342 d,1207,7.27 Earths,13.096,2021
448,EPIC 206032309 b,526,1.01 Earths,17.89,2019
